"English Term","Arabic","French","Spanish","Context","Notes"
"Policy","سياسة","Politique","Política","Compliance document","DO NOT TRANSLATE as 'Strategy'"
"Compliance","امتثال","Conformité","Cumplimiento","Regulatory compliance","Legal/regulatory context"
"Evidence","دليل","Preuve","Evidencia","Legal proof","Singular form"
"Evidences","أدلة","Preuves","Evidencias","Legal proof","Plural form"
"Violation","مخالفة","Violation","Violación","Policy breach","Compliance violation"
"Tenant","مستأجر","Locataire","Inquilino","Organization","Multi-tenancy concept"
"Audit Log","سجل التدقيق","Journal d'audit","Registro de auditoría","Activity log","Security feature"
"Session","جلسة","Session","Sesión","User session","Chat or login session"
"Dashboard","لوحة التحكم","Tableau de bord","Panel de control","Main interface",""
"User Profile","ملف المستخدم","Profil utilisateur","Perfil de usuario","User settings",""
"Permission","صلاحية","Permission","Permiso","Access right","Singular"
"Permissions","صلاحيات","Permissions","Permisos","Access rights","Plural"
"Role","دور","Rôle","Rol","User role","Security role"
"Administrator","مسؤول","Administrateur","Administrador","Admin user",""
"User","مستخدم","Utilisateur","Usuario","System user","Singular"
"Users","مستخدمون","Utilisateurs","Usuarios","System users","Plural"
"Save","حفظ","Enregistrer","Guardar","Button",""
"Cancel","إلغاء","Annuler","Cancelar","Button",""
"Delete","حذف","Supprimer","Eliminar","Button",""
"Edit","تحرير","Modifier","Editar","Button",""
"Create","إنشاء","Créer","Crear","Button",""
"Update","تحديث","Mettre à jour","Actualizar","Button",""
"Search","بحث","Rechercher","Buscar","Action",""
"Filter","تصفية","Filtrer","Filtrar","Action",""
"Export","تصدير","Exporter","Exportar","Action",""
"Import","استيراد","Importer","Importar","Action",""
"Refresh","تحديث","Actualiser","Actualizar","Action",""
"Loading","جاري التحميل","Chargement","Cargando","Status",""
"Active","نشط","Actif","Activo","Status",""
"Inactive","غير نشط","Inactif","Inactivo","Status",""
"Pending","قيد المراجعة","En attente","Pendiente","Status",""
"Approved","موافق عليه","Approuvé","Aprobado","Status",""
"Rejected","مرفوض","Rejeté","Rechazado","Status",""
"Draft","مسودة","Brouillon","Borrador","Status",""
"Published","منشور","Publié","Publicado","Status",""
"Archived","مؤرشف","Archivé","Archivado","Status",""
"Success","نجاح","Succès","Éxito","Message type",""
"Error","خطأ","Erreur","Error","Message type",""
"Warning","تحذير","Avertissement","Advertencia","Message type",""
"Info","معلومة","Information","Información","Message type",""
"Email","بريد إلكتروني","E-mail","Correo electrónico","Field",""
"Password","كلمة المرور","Mot de passe","Contraseña","Field",""
"Name","الاسم","Nom","Nombre","Field",""
"Description","الوصف","Description","Descripción","Field",""
"Date","التاريخ","Date","Fecha","Field",""
"Time","الوقت","Heure","Hora","Field",""
"Status","الحالة","État","Estado","Field",""
"Type","النوع","Type","Tipo","Field",""
"Category","الفئة","Catégorie","Categoría","Field",""
"Priority","الأولوية","Priorité","Prioridad","Field",""
"Severity","الخطورة","Sévérité","Gravedad","Field","Compliance severity"
"Low","منخفض","Faible","Bajo","Priority/Severity",""
"Medium","متوسط","Moyen","Medio","Priority/Severity",""
"High","عالي","Élevé","Alto","Priority/Severity",""
"Critical","حرج","Critique","Crítico","Priority/Severity",""
"Overview","نظرة عامة","Aperçu","Visión general","Tab/Section",""
"Settings","الإعدادات","Paramètres","Configuración","Tab/Section",""
"Reports","التقارير","Rapports","Informes","Tab/Section",""
"Analytics","التحليلات","Analyses","Análisis","Tab/Section",""
"Activity","النشاط","Activité","Actividad","Tab/Section",""
"History","السجل","Historique","Historial","Tab/Section",""
"AI Chat","دردشة ذكية","Chat IA","Chat IA","Feature","AI-powered chat"
"AI Model","نموذج ذكاء اصطناعي","Modèle IA","Modelo IA","Feature",""
"Message","رسالة","Message","Mensaje","Chat message",""
"Conversation","محادثة","Conversation","Conversación","Chat",""
"Token","رمز","Jeton","Token","AI/API token","DO NOT translate"
"API Key","مفتاح API","Clé API","Clave API","Authentication",""
"Blockchain","بلوكتشين","Blockchain","Blockchain","Technology","Keep as-is"
"Hash","الهاش","Hachage","Hash","Cryptography",""
"Encryption","التشفير","Chiffrement","Cifrado","Security",""
"Anchor","التثبيت","Ancrage","Anclaje","Blockchain anchor",""
"Ledger","دفتر الأستاذ","Grand livre","Libro mayor","Blockchain ledger",""
"Smart Contract","عقد ذكي","Contrat intelligent","Contrato inteligente","Blockchain",""
"Custody Chain","سلسلة الحفظ","Chaîne de garde","Cadena de custodia","Evidence tracking","Legal term"